,ks,FDR,rank_FDR,rank_ks,average_rank
Cardnum_total_7,0.5838017606749939,0.4934876989869754,507.0,504.5,505.75
card_zip_max_3,0.6207237750821354,0.45875542691751087,489.0,516.0,502.5
card_merch_max_3,0.6170575848725481,0.45875542691751087,489.0,514.0,501.5
merch_state_total_1,0.5804391980572285,0.47756874095513746,496.0,501.0,498.5
card_state_max_1,0.6009164206792004,0.44283646888567296,475.0,513.0,494.0
merch_zip_total_1,0.5740366646176275,0.467438494934877,493.0,493.0,493.0
card_merch_max_1,0.59317432886917,0.4341534008683068,470.0,511.0,490.5
card_zip_max_1,0.5975172651605513,0.43270622286541244,469.0,512.0,490.5
merch_state_total_0,0.5523570847450852,0.5282199710564399,524.0,456.0,490.0
merch_state_total_3,0.5915059463352644,0.41244573082489144,462.0,510.0,486.0
merch_zip_total_0,0.551119625910151,0.5180897250361794,517.0,453.0,485.0
merch_state_max_0,0.5776832228694413,0.4399421128798842,472.5,496.0,484.25
merch_zip_max_0,0.5756012782318738,0.4399421128798842,472.5,495.0,483.75
merch_state_max_3,0.5636716809253962,0.45875542691751087,489.0,474.0,481.5
merch_transtype_max_0,0.5728704996157411,0.4399421128798842,472.5,489.5,481.0
Merchnum_max_0,0.5728704996157411,0.4399421128798842,472.5,489.5,481.0
merch_zip_max_3,0.5617491068293905,0.45875542691751087,489.0,472.0,480.5
merch_zip_total_3,0.5827641605122222,0.40520984081041966,458.5,502.0,480.25
merch_transtype_total_0,0.5459825079256239,0.507959479015919,513.5,446.5,480.0
Cardnum_total_1,0.5463572957997604,0.4992764109985528,510.5,449.5,480.0
Merchnum_total_0,0.5459825079256239,0.507959479015919,513.5,446.5,480.0
card_transtype_total_1,0.5463572957997604,0.4992764109985528,510.5,449.5,480.0
merch_state_max_1,0.5689289500528494,0.4442836468885673,477.5,482.0,479.75
merch_zip_max_1,0.5669909953640757,0.4442836468885673,477.5,477.0,477.25
Merchnum_total_1,0.5701663643708724,0.4196816208393632,465.5,485.5,475.5
merch_transtype_total_1,0.5701663643708724,0.4196816208393632,465.5,485.5,475.5
merch_transtype_total_3,0.5785568895072684,0.3849493487698987,452.5,497.5,475.0
Merchnum_total_3,0.5785568895072684,0.3849493487698987,452.5,497.5,475.0
merch_transtype_max_1,0.560978585874468,0.4442836468885673,477.5,470.5,474.0
Merchnum_max_1,0.560978585874468,0.4442836468885673,477.5,470.5,474.0
Cardnum_total_0,0.5410257947231301,0.5108538350217077,515.5,430.5,473.0
card_transtype_total_0,0.5410257947231301,0.5108538350217077,515.5,430.5,473.0
card_state_max_0,0.5702292445077316,0.40520984081041966,458.5,487.0,472.75
card_zip_max_0,0.5719406526361679,0.40086830680173663,456.5,488.0,472.25
merch_transtype_max_3,0.554413966361731,0.4515195369030391,484.5,459.5,472.0
Merchnum_max_3,0.554413966361731,0.4515195369030391,484.5,459.5,472.0
card_merch_max_0,0.5677291747831197,0.40086830680173663,456.5,481.0,468.75
merch_state_total_7,0.5731962521123553,0.3458755426917511,443.0,491.0,467.0
Cardnum_max_7,0.5310574121914502,0.48625180897250364,503.5,422.5,463.0
card_transtype_max_7,0.5310574121914502,0.48625180897250364,503.5,422.5,463.0
merch_zip_total_7,0.5635008695376944,0.33285094066570187,440.0,473.0,456.5
card_zip_avg_30,0.5828821303265068,0.2735166425470333,408.5,503.0,455.75
Cardnum_total_14,0.5294283380900024,0.45875542691751087,489.0,420.5,454.75
card_transtype_total_14,0.5294283380900024,0.45875542691751087,489.0,420.5,454.75
Cardnum_max_3,0.5392403327131609,0.44573082489146165,480.5,428.5,454.5
card_transtype_max_3,0.5392403327131609,0.44573082489146165,480.5,428.5,454.5
Cardnum_max_14,0.5050992674809063,0.5253256150506512,521.5,384.5,453.0
card_transtype_max_14,0.5050992674809063,0.5253256150506512,521.5,384.5,453.0
card_state_avg_7,0.5671812606419067,0.28798842257597684,427.0,479.0,453.0
card_transtype_max_0,0.5440528778992167,0.40665701881331406,460.5,444.5,452.5
Cardnum_max_0,0.5440528778992167,0.40665701881331406,460.5,444.5,452.5
card_state_avg_3,0.5692045319907092,0.28075253256150506,419.0,483.0,451.0
merch_state_max_7,0.5143279792770217,0.47901591895803186,497.5,401.0,449.25
card_merch_avg_30,0.5755413362111439,0.26772793053545585,403.0,494.0,448.5
merch_zip_max_7,0.5129744871134339,0.47901591895803186,497.5,398.0,447.75
merch_transtype_total_7,0.5605394265469521,0.28364688856729375,423.5,468.5,446.0
Cardnum_max_1,0.5368338597940332,0.42547033285094066,467.5,424.5,446.0
card_state_avg_14,0.5548879601721441,0.29088277858176553,430.0,462.0,446.0
